"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12";"C_0402_1005Metric";1;"100nf";;;
2;"GREEN_LED1";"LED_0603_1608Metric";1;"NCD0603G1";;;
3;"R8,R7";"R_0402_1005Metric";2;"5.4k";;;
4;"D1";"D_SMF";1;"SMF9V0A";;;
5;"R3,R6";"R0402";2;"2.2k";;;
6;"J10,J2";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";2;"Screw_Terminal";;;
7;"Boot1,Boot2";"SW_DPDT_CK_JS202011JCQN";2;"SW_DPDT_x2";;;
8;"WSON-8-Flash1";"WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm";1;"U10";;;
9;"U1";"ublox_NEO";1;"NEO-M8N";;;
10;"J3,J7,J1,J9";"TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm";4;"MX128-5.0-04P-GN01-Cu-Y-A";;;
11;"R25";"R0402";1;"2200";;;
12;"Q1,Q3,Q2";"SOT-23";3;"AO3400A";;;
13;"R5,R30,R9,R15,R4,R16,R20,R14,R24,R31,R12,R11,R10,R21,R26,R27,R28,R29";"R0402";18;"10k";;;
14;"C12_47uF1,C12_47uF2";"C_0201_0603Metric";2;"06034W476MAT2A";;;
15;"R23";"R0402";1;"1 ohm, 20W";;;
16;"R19,R18";"R0402";2;"330";;;
17;"R17";"R0402";1;"10K";;;
18;"R22";"R0402";1;"147";;;
19;"C9,C3,C13,C8,C7,C4,C5";"CAPC1608X90N";7;"100nF";;;
20;"C10";"C_0805_2012Metric";1;"10uf 1mOhm";;;
21;"Q4";"SOT-23";1;"FDN340P";;;
22;"J5";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"LIPO PIN";;;
23;"ESP32S3";"ESP32-S3-WROOM-1U";1;"ESP32-S3-WROOM-1U-N4";;;
24;"PS1";"CONV_TPSM84205EAB";1;"TPSM84205EAB";;;
25;"D2";"LED_0402_1005Metric";1;"RED LED";;;
26;"SDCard1";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card";;;
27;"J7CHECK1";"IPEX_20279-001E-03";1;"20279-001E-03";;;
28;"C6";"C_0402_1005Metric";1;"1uF";;;
29;"R1,R2";"R0402";2;"5.1k";;;
30;"P2";"SOT-23-5";1;"LP5907MFX-3.3";;;
31;"U2";"SOT-23-6";1;"USBLC6-2SC6";;;
32;"Barometer1";"PQFN50P200X200X80-10N";1;"BMP388";;;
33;"C11,C2";"C_0402_1005Metric";2;"1uf";;;
34;"Magnometer1";"LGA-12_2x2mm_P0.5mm";1;"LIS3MDLTR";;;
35;"IMU6axis1";"PQFN50P250X300X86-14N";1;"LSM6DSOXTR";;;
36;"C14";"C_0402_1005Metric";1;"10uF";;;
37;"NCD0603R1";"LED_0603_1608Metric";1;"RED_LED";;;
38;"PowerUpload1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C";;;
39;"C1";"CAPPRD500W85D1250H3700";1;"6800 UF";;;
