Comment,Designator,Footprint,LCSC,Quantity
LIPO PIN,J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,1
GREEN LED,BLINKY1,LED_0603_1608Metric,,1
GND Terminal,J8,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,,1
3v3 Terminal,J1,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,,1
10k,R21,R0402,,1
147,R20,R0402,,1
"1 ohm, 20W",R19,R0402,,1
10k,R18,R0402,,1
5.4k,R7,R_0402_1005Metric,,1
AO3400A,Q4,SOT-23,,1
RED LED,D6,LED_0402_1005Metric,,1
6800 UF,C14,CAPPRD500W85D1250H3700,,1
ESP32-S3-WROOM-1U,ESP32S3,ESP32-S3-WROOM-1U,,1
Screw_Terminal,J6,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,,1
10K,R17,R0402,,1
AO3400A,Q1,SOT-23,,1
SW_DPDT_x2,Boot2,SW_DPDT_CK_JS202011JCQN,,1
Screw_Terminal_4x,J4,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,,1
Screw_Terminal_4x,J3,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,,1
5.1k,R1,R0402,,1
SMF6V0A,D2,D_SMF,,1
10k,R15,R0402,,1
5.1k,R2,R0402,,1
20279-001E-03,J7,IPEX_20279-001E-03,,1
330,R16,R0402,,1
330,R14,R0402,,1
10k,R4,R0402,,1
SMF9V0A,D1,D_SMF,,1
SMF6V0A,D3,D_SMF,,1
Screw_Terminal,J2,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,,1
SMF6V5A,D4,D_SMF,,1
NEO-6M-GPS,U6,XCVR_NEO-6M-GPS,,1
10k,R12,R0402,,1
1uf,C1,C_0402_1005Metric,,1
100nF,C9,CAPC1608X90N,,1
100nF,C3,CAPC1608X90N,,1
100nF,C7,CAPC1608X90N,,1
1uF,C6,C_0402_1005Metric,,1
10uf 1mOhm,C10,C_0805_2012Metric,,1
2.2k,R3,R0402,,1
100nF,C5,CAPC1608X90N,,1
Micro_SD_Card,SDCard1,microSD_HC_Hirose_DM3AT-SF-PEJM5,,1
TPSM84205EAB,PS1,CONV_TPSM84205EAB,,1
10k,R10,R0402,,1
LP5907MFX-3.3,5v1,SOT-23-5,,1
2.2k,R6,R0402,,1
10k,R13,R0402,,1
10k,R9,R0402,,1
100nF,C8,CAPC1608X90N,,1
10k,R11,R0402,,1
1uf,C2,C_0402_1005Metric,,1
47uF 3.037mOhm,C11,EEEHP1H4R7P,,1
5.4k,R8,R_0402_1005Metric,,1
100nF,C4,CAPC1608X90N,,1
06034W476MAT2A,C13,CAPC1608X100N,,1
SW_DPDT_x2,Boot1,SW_DPDT_CK_JS202011JCQN,,1
10k,R5,R0402,,1
