Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
5v1,LP5907MFX-3.3,SOT-23-5,134.55,-106.1375,270,bottom
BLINKY1,GREEN LED,LED_0603_1608Metric,102.7875,-114.5,180,top
Boot1,SW_DPDT_x2,SW_DPDT_CK_JS202011JCQN,138.3,-90.5,90,top
Boot2,SW_DPDT_x2,SW_DPDT_CK_JS202011JCQN,112.3384,-60.67,-90,top
C1,1uf,C_0402_1005Metric,134,-103,0,bottom
C10,10uf 1mOhm,C_0805_2012Metric,117,-99.5,270,bottom
C11,47uF 3.037mOhm,EEEHP1H4R7P,128.325,-94.895,0,bottom
C13,06034W476MAT2A,CAPC1608X100N,122,-100.5,270,bottom
C14,6800 UF,CAPPRD500W85D1250H3700,108.5,-114.5,0,bottom
C2,1uf,C_0402_1005Metric,134,-109,0,bottom
C3,100nF,CAPC1608X90N,109.1384,-76,90,bottom
C4,100nF,CAPC1608X90N,102.5,-76,270,bottom
C5,100nF,CAPC1608X90N,104,-76,270,bottom
C6,1uF,C_0402_1005Metric,110.6384,-75.43,90,bottom
C7,100nF,CAPC1608X90N,112.1384,-75.19,90,bottom
C8,100nF,CAPC1608X90N,105.5,-76,90,bottom
C9,100nF,CAPC1608X90N,107,-76,90,bottom
D1,SMF9V0A,D_SMF,112,-111,180,top
D2,SMF6V0A,D_SMF,121.55,-111,0,top
D3,SMF6V0A,D_SMF,131.45,-110.5,180,top
D4,SMF6V5A,D_SMF,127.5,-107.5,180,top
D6,RED LED,LED_0402_1005Metric,107.5,-120,0,top
ESP32S3,ESP32-S3-WROOM-1U,ESP32-S3-WROOM-1U,125.75,-81.6,0,top
J1,3v3 Terminal,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,146,-73.5,90,top
J2,Screw_Terminal,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,104.4675,-95.25,90,top
J3,Screw_Terminal_4x,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,105,-63.5,90,top
J4,Screw_Terminal_4x,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,146,-101.5,90,top
J5,LIPO PIN,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,117,-117,0,top
J6,Screw_Terminal,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,104.4675,-106.75,90,top
J7,20279-001E-03,IPEX_20279-001E-03,140.025,-56.975,0,top
J8,GND Terminal,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,145.9675,-85,90,top
PS1,TPSM84205EAB,CONV_TPSM84205EAB,119.5,-106.5,180,bottom
Q1,AO3400A,SOT-23,113,-95.5,-90,top
Q4,AO3400A,SOT-23,111.5,-119,180,top
R1,5.1k,R0402,127.5,-115.5,180,top
R10,10k,R0402,104,-83.5,270,bottom
R11,10k,R0402,114,-80,180,bottom
R12,10k,R0402,112.8616,-79.8855,180,bottom
R13,10k,R0402,130.5,-89,90,bottom
R14,330,R0402,113,-90.5555,0,top
R15,10k,R0402,111.0625,-104,0,top
R16,330,R0402,113.0625,-102.5048,0,top
R17,10K,R0402,116.5,-60.5,90,top
R18,10k,R0402,109.5,-120,90,top
R19,"1 ohm, 20W",R0402,107.5,-117.5,90,top
R2,5.1k,R0402,125,-115.5,180,top
R20,147,R0402,108.5,-115.5,-90,top
R21,10k,R0402,108.0555,-78.5,-90,top
R3,2.2k,R0402,120.6384,-83.1145,180,bottom
R4,10k,R0402,111.5,-92,0,top
R5,10k,R0402,134.4445,-92.5,-90,top
R6,2.2k,R0402,119.6384,-83.1145,180,bottom
R7,5.4k,R_0402_1005Metric,102,-116.99,90,top
R8,5.4k,R_0402_1005Metric,139,-103.7875,270,bottom
R9,10k,R0402,101.5,-77.5555,180,bottom
SDCard1,Micro_SD_Card,microSD_HC_Hirose_DM3AT-SF-PEJM5,139.97,-59.965,180,bottom
U6,NEO-6M-GPS,XCVR_NEO-6M-GPS,125,-59.5,0,top
